关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接
基因防逃逸,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
环境释放风险,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
镜像生命,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
镜像微生物,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
生物制造质量控制,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
生物工艺质量控制,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
菌株质量标准,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
细胞库质量控制,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
种子批系统,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
主细胞库,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
工作细胞库,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
生物制造标准化,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
批次一致性,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
工艺验证,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
生物合成仪,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
基因组装仪,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
DNA合成仪,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
自动化发酵设备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
菌种筛选设备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
高通量培养设备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物工艺装备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物制造中试装备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
